Regd. Num.,Quiz 1,Quiz 2
20761A0565,5.5,6.5
20761A0566,5.5,7
20761A0567,6.5,5.5
20761A0568,6.5,6
20761A0569,7,6.5
20761A0570,4,4.5
20761A0571,7,7.5
20761a0572,7,6
20761A0573,5,5
20761A0574,6.5,7
20761A0575,7,6.5
20761A0576,7.5,7.5
20761A0577,5.5,7.5
20761A0578,6,4
20761A0579,5.5,4.5
20761A0580,6.5,6.5
20761A0581,8,6.5
20761A0582,5.5,5.5
20761A0583,6.5,8
20761A0584,7,4
20761A0585,5.5,3
20761A0586,3.5,2.5
20761A0587,6.5,7
20761A0588,7,5.5
20761A0589,5,3.5
20761A0590,6,6
20761A0591,7,4.5
20761A0592,9,5.5
20761A0593,6.5,6.5
20761A0594,6,5.5
20761A0595,5.5,3.5
20761A0596,6,4.5
20761A0597,8,8
20761A0598,5.5,5
20761A0599,7,4
20761A05A0,6.5,3.5
20761A05A1,6.5,3.5
20761A05A2,6.5,5.5
20761A05A3,8,4.5
20761A05A4,6.5,4.5
20761A05A5,5.5,6.5
20761A05A6,7,5.5
20761A05A7,6.5,6
20761A05A8,8,7
20761A05A9,9.5,6.5
20761A05B0,7,4.5
20761A05B1,6,4
20761A05B2,6,2.5
20761A05B3,7,4.5
20761A05B4,7,0
20761A05B5,A,5.5
20761A05B6,8.5,5.5
20761A05B7,7.5,7.5
20761A05B8,6.5,5.5
20761A05B9,8,5.5
20761A05C0,5.5,5
20761A05C1,7,3.5
20761A05C2,6.5,5
20761A05C3,6.5,4.5
20761A05C4,4,4.5
20761A05C5,6.5,7
20761A05C6,4.5,7.5
20761A05C7,6.5,6.5
20761A05C8,5,2.5
20761A05C9,7,5.5
21765A0507,4,2.5
21765A0508,4,4
21765A0509,4.5,4
21765A0510,4,4
21765A0511,6.5,2.5
21765A0512,5,5
